experiment_name,gen_model,embed_model,num_docs,chunk_size,chunk_overlap,num_questions_per_doc,total_questions,concurrency,total_input_tokens,total_output_tokens,total_tokens,total_runtime_seconds,tokens_per_second,cost_api_total,cost_api_per_1k_tokens,cost_api_per_document,cost_api_per_question,cost_api_input,cost_api_output,cost_local_total,cost_local_per_1k_tokens,cost_local_per_document,cost_local_per_question,cost_local_runtime_hours,cost_difference,cost_ratio,total_cost,cost_per_1k_tokens,cost_per_document,cost_per_question,pricing_mode,nolh_sample_idx,nolh_num_docs,nolh_chunk_size,nolh_num_questions
nolh_docs27_chunk3310_q6,gemma3:1b,embeddinggemma,27,3310,50,6,158,1,94937,2323,97260,65.67393174799516,1480.952904924397,0.2605725,0.0026791332510795805,0.009650833333333332,0.0016491930379746835,0.2373425,0.02323,0.027364138228331315,0.0002813503827712453,0.001013486601049308,0.00017319074828057795,0.018242758818887542,0.23320836177166868,9.522408410078036,0.2605725,0.0026791332510795805,0.009650833333333332,0.0016491930379746835,both,0,27,3310,6
nolh_docs37_chunk1750_q3,gemma3:1b,embeddinggemma,37,1750,50,3,111,1,75731,1608,77339,58.623796248983155,1319.2424399049637,0.2054075,0.002655936849454997,0.005551554054054054,0.0018505180180180178,0.18932749999999998,0.01608,0.02442658177040965,0.0003158378278799784,0.0006601778856867472,0.00022005929522891577,0.016284387846939766,0.18098091822959034,8.40917906282043,0.2054075,0.002655936849454997,0.005551554054054054,0.0018505180180180178,both,1,37,1750,3
nolh_docs31_chunk2997_q8,gemma3:1b,embeddinggemma,31,2997,50,8,244,1,141839,3384,145223,88.77234216398938,1635.9036661636028,0.3884375,0.0026747657051568964,0.01253024193548387,0.0015919569672131148,0.3545975,0.03384,0.036988475901662245,0.00025470122433541686,0.0011931766419891047,0.00015159211435107476,0.024658983934441495,0.3514490240983377,10.501581655667618,0.3884375,0.0026747657051568964,0.01253024193548387,0.0015919569672131148,both,2,31,2997,8
nolh_docs24_chunk2114_q7,gemma3:1b,embeddinggemma,24,2114,50,7,165,1,97791,2423,100214,64.49550079200705,1553.813812891884,0.2687075,0.0026813369389506454,0.011196145833333332,0.0016285303030303029,0.2444775,0.02423,0.026873125330002936,0.00026815739647158016,0.001119713555416789,0.00016286742624244203,0.017915416886668624,0.24183437466999705,9.999116094621014,0.2687075,0.0026813369389506454,0.011196145833333332,0.0016285303030303029,both,3,24,2114,7
nolh_docs22_chunk674_q6,gemma3:1b,embeddinggemma,22,674,50,6,130,1,78304,1830,80134,52.84617937497384,1516.3631684970728,0.21406000000000003,0.0026712756133476434,0.00973,0.0016466153846153848,0.19576000000000002,0.0183,0.0220192414062391,0.0002747802606414144,0.0010008746093745045,0.00016937878004799308,0.014679494270826068,0.19204075859376094,9.721497487163505,0.21406000000000003,0.0026712756133476434,0.00973,0.0016466153846153848,both,4,22,674,6
nolh_docs8_chunk3755_q3,gemma3:1b,embeddinggemma,8,3755,50,3,24,1,16583,330,16913,13.741497584000168,1230.7974364957538,0.04475749999999999,0.0026463371371134624,0.005594687499999999,0.001864895833333333,0.041457499999999994,0.0033000000000000004,0.005725623993333403,0.00033853390843335916,0.0007157029991666754,0.00023856766638889182,0.003817082662222269,0.03903187600666659,7.817051914710627,0.04475749999999999,0.0026463371371134624,0.005594687499999999,0.001864895833333333,both,5,8,3755,3
nolh_docs10_chunk981_q3,gemma3:1b,embeddinggemma,10,981,50,3,30,1,20597,420,21017,16.341926499990226,1286.078480405145,0.055692500000000006,0.00264987866964838,0.00556925,0.0018564166666666668,0.051492500000000004,0.0042,0.006809136041662594,0.0003239823020251508,0.0006809136041662593,0.00022697120138875313,0.004539424027775063,0.04888336395833741,8.17908463852655,0.055692500000000006,0.00264987866964838,0.00556925,0.0018564166666666668,both,6,10,981,3
nolh_docs30_chunk2503_q8,gemma3:1b,embeddinggemma,30,2503,50,8,236,1,137281,3300,140581,86.17574279602559,1631.3291355404897,0.3762025,0.002676055085680142,0.012540083333333334,0.0015940783898305084,0.3432025,0.033,0.035906559498343996,0.00025541545086707305,0.0011968853166114666,0.00015214643855230507,0.02393770633222933,0.340295940501656,10.477263910995159,0.3762025,0.002676055085680142,0.012540083333333334,0.0015940783898305084,both,7,30,2503,8
nolh_docs38_chunk3955_q8,gemma3:1b,embeddinggemma,38,3955,50,8,300,1,174618,4120,178738,107.76484558701486,1658.5928279893258,0.47774500000000003,0.002672878738712529,0.012572236842105265,0.0015924833333333334,0.436545,0.0412,0.044902018994589524,0.0002512169711789856,0.0011816320788049874,0.00014967339664863173,0.02993467932972635,0.4328429810054105,10.639722014673016,0.47774500000000003,0.002672878738712529,0.012572236842105265,0.0015924833333333334,both,8,38,3955,8
nolh_docs16_chunk812_q2,gemma3:1b,embeddinggemma,16,812,50,2,31,1,23978,493,24471,22.41169904598064,1091.8850886670584,0.064875,0.002651097217114135,0.0040546875,0.002092741935483871,0.059945000000000005,0.00493,0.009338207935825267,0.0003816030377109749,0.0005836379959890792,0.0003012325140588796,0.006225471957216845,0.055536792064174736,6.9472644479367816,0.064875,0.002651097217114135,0.0040546875,0.002092741935483871,both,9,16,812,2
nolh_docs29_chunk3103_q4,gemma3:1b,embeddinggemma,29,3103,50,4,114,1,73330,1685,75015,53.5799941280129,1400.0561444776338,0.200175,0.002668466306738652,0.006902586206896552,0.001755921052631579,0.183325,0.01685,0.022324997553338707,0.0002976071126219917,0.0007698275018392657,0.00019583331187139218,0.014883331702225805,0.17785000244666127,8.966406357794373,0.200175,0.002668466306738652,0.006902586206896552,0.001755921052631579,both,10,29,3103,4
nolh_docs35_chunk575_q7,gemma3:1b,embeddinggemma,35,575,50,7,241,1,142267,3275,145542,89.2870461670027,1630.0460844877532,0.38841749999999997,0.002668765717112586,0.011097642857142856,0.0016116908713692945,0.35566749999999997,0.03275,0.03720293590291779,0.00025561649491499214,0.001062941025797651,0.0001543690286428124,0.02480195726861186,0.3512145640970822,10.440506658226852,0.38841749999999997,0.002668765717112586,0.011097642857142856,0.0016116908713692945,both,11,35,575,7
nolh_docs31_chunk3271_q2,gemma3:1b,embeddinggemma,31,3271,50,2,62,1,47303,992,48295,42.757835418022296,1129.500582240508,0.1281775,0.0026540532146184905,0.004134758064516129,0.0020673790322580645,0.1182575,0.00992,0.01781576475750929,0.00036889460104584925,0.0005747020889519125,0.00028735104447595626,0.011877176505006193,0.11036173524249071,7.194611162901305,0.1281775,0.0026540532146184905,0.004134758064516129,0.0020673790322580645,both,12,31,3271,2
nolh_docs18_chunk2411_q7,gemma3:1b,embeddinggemma,18,2411,50,7,123,1,72743,1779,74522,48.90067800095127,1523.9461505738288,0.19964749999999998,0.0026790410885376126,0.011091527777777777,0.0016231504065040649,0.18185749999999998,0.01779,0.02037528250039636,0.0002734129854324409,0.001131960138910909,0.00016565270325525497,0.013583521666930908,0.17927221749960362,9.798514449854437,0.19964749999999998,0.0026790410885376126,0.011091527777777777,0.0016231504065040649,both,13,18,2411,7
nolh_docs9_chunk1630_q9,gemma3:1b,embeddinggemma,9,1630,50,9,76,1,44500,1035,45535,27.809827668017533,1637.3708080315491,0.1216,0.0026704732623256838,0.013511111111111111,0.0016,0.11125,0.01035,0.011587428195007306,0.0002544730030747185,0.0012874920216674785,0.00015246616046062244,0.00772495213000487,0.11001257180499269,10.494131912066043,0.1216,0.0026704732623256838,0.013511111111111111,0.0016,both,14,9,1630,9
nolh_docs45_chunk1103_q5,gemma3:1b,embeddinggemma,45,1103,50,5,222,1,136573,3106,139679,93.13448583801802,1499.7559576689287,0.3724925,0.0026667752489636953,0.00827761111111111,0.0016778941441441442,0.3414325,0.03106,0.03880603576584084,0.0002778229781559206,0.0008623563503520187,0.00017480196290919296,0.02587069051056056,0.33368646423415915,9.598828961753624,0.3724925,0.0026667752489636953,0.00827761111111111,0.0016778941441441442,both,15,45,1103,5
nolh_docs41_chunk3845_q9,gemma3:1b,embeddinggemma,41,3845,50,9,364,1,209133,5020,214153,126.6409888309935,1691.0243829965202,0.5730325000000001,0.002675808884302345,0.013976402439024392,0.00157426510989011,0.5228325,0.050199999999999995,0.05276707867958062,0.0002463989702669616,0.0012870019190141615,0.00014496450186697973,0.03517805245305375,0.5202654213204194,10.859659362225553,0.5730325000000001,0.002675808884302345,0.013976402439024392,0.00157426510989011,both,16,41,3845,9
nolh_docs11_chunk489_q2,gemma3:1b,embeddinggemma,11,489,48,2,22,1,16784,338,17122,15.943470957012323,1073.9192266329767,0.04534,0.0026480551337460575,0.004121818181818181,0.0020609090909090907,0.04196,0.00338,0.006643112898755135,0.0003879869699074369,0.000603919354432285,0.0003019596772161425,0.004428741932503423,0.038696887101244866,6.82511357115372,0.04534,0.0026480551337460575,0.004121818181818181,0.0020609090909090907,both,17,11,489,2
