experiment_name,gen_model,embed_model,num_docs,chunk_size,chunk_overlap,num_questions_per_doc,total_questions,concurrency,total_input_tokens,total_output_tokens,total_tokens,total_runtime_seconds,tokens_per_second,cost_api_total,cost_api_per_1k_tokens,cost_api_per_document,cost_api_per_question,cost_api_input,cost_api_output,cost_local_total,cost_local_per_1k_tokens,cost_local_per_document,cost_local_per_question,cost_local_runtime_hours,cost_difference,cost_ratio,total_cost,cost_per_1k_tokens,cost_per_document,cost_per_question,pricing_mode,nolh_sample_idx,nolh_num_docs,nolh_chunk_size,nolh_num_questions
nolh_docs42_chunk876_q4_gengemma3_27b_embembeddinggemma,gemma3:27b,embeddinggemma,42,876,50,4,168,3,20394,0,20394,263.87351137795486,77.28703003761902,0.050984999999999996,0.0024999999999999996,0.0012139285714285713,0.00030348214285714283,0.050984999999999996,0.0,0.10994729640748119,0.005391158988304462,0.002617792771606695,0.0006544481929016738,0.07329819760498746,-0.05896229640748119,0.46372218022571404,0.050984999999999996,0.0024999999999999996,0.0012139285714285713,0.00030348214285714283,both,0,42,876,4
nolh_docs41_chunk2998_q8_gengemma3_4b_embembeddinggemma,gemma3:4b,embeddinggemma,41,2998,50,8,328,3,19986,0,19986,82.33936801497475,242.72714840810073,0.049965,0.0025,0.0012186585365853658,0.00015233231707317073,0.049965,0.0,0.034308070006239484,0.0017166051238987033,0.0008367821952741338,0.00010459777440926672,0.02287204667082632,0.01565692999376052,1.4563628904486043,0.049965,0.0025,0.0012186585365853658,0.00015233231707317073,both,1,41,2998,8
nolh_docs33_chunk2617_q10_gengemma3_27b_embsnowflake_arctic_embed2_568m,gemma3:27b,snowflake-arctic-embed2:568m,33,2617,50,10,330,3,16086,0,16086,422.07155446193065,38.112021125202126,0.040214999999999994,0.0024999999999999996,0.0012186363636363634,0.00012186363636363634,0.040214999999999994,0.0,0.1758631476924711,0.010932683556662383,0.005329186293711246,0.0005329186293711246,0.1172420984616474,-0.1356481476924711,0.2286721267512127,0.040214999999999994,0.0024999999999999996,0.0012186363636363634,0.00012186363636363634,both,2,33,2617,10
nolh_docs22_chunk3268_q7_gengemma3_12b_embnomic_embed_text_137m_v1.5_fp16,gemma3:12b,nomic-embed-text:137m-v1.5-fp16,22,3268,50,7,154,3,10726,0,10726,93.54583279998042,114.66037212939587,0.026815000000000002,0.0025,0.0012188636363636364,0.00017412337662337662,0.026815000000000002,0.0,0.03897743033332517,0.003633920411460486,0.001771701378787508,0.00025310019696964396,0.025984953555550114,-0.012162430333325171,0.6879622327763752,0.026815000000000002,0.0025,0.0012188636363636364,0.00017412337662337662,both,3,22,3268,7
nolh_docs15_chunk3762_q4_gengemma3_1b_embembeddinggemma,gemma3:1b,embeddinggemma,15,3762,50,4,60,3,7322,0,7322,15.37277570196602,476.29654799839375,0.018305000000000002,0.0025,0.0012203333333333335,0.00030508333333333337,0.018305000000000002,0.0,0.006405323209152509,0.0008748051364589605,0.0004270215472768339,0.00010675538681920848,0.004270215472768339,0.011899676790847493,2.8577792879903625,0.018305000000000002,0.0025,0.0012203333333333335,0.00030508333333333337,both,4,15,3762,4
nolh_docs24_chunk351_q4_gengemma3_27b_embsnowflake_arctic_embed2_568m,gemma3:27b,snowflake-arctic-embed2:568m,24,351,35,4,96,3,11741,0,11741,152.06771878700238,77.20902301720812,0.0293525,0.0025,0.0012230208333333333,0.00030575520833333333,0.0293525,0.0,0.06336154949458433,0.005396605867863414,0.0026400645622743474,0.0006600161405685869,0.04224103299638955,-0.03400904949458433,0.4632541381032487,0.0293525,0.0025,0.0012230208333333333,0.00030575520833333333,both,5,24,351,4
nolh_docs47_chunk1493_q4_gengpt_oss_120b_embsnowflake_arctic_embed2_568m,gpt-oss:120b,snowflake-arctic-embed2:568m,47,1493,50,4,188,3,22821,0,22821,355.517217273009,64.19098398397759,0.057052500000000006,0.0025,0.0012138829787234043,0.0003034707446808511,0.057052500000000006,0.0,0.14813217386375377,0.006491046573934261,0.0031517483800798675,0.0007879370950199669,0.09875478257583584,-0.09107967386375376,0.3851459039038655,0.057052500000000006,0.0025,0.0012138829787234043,0.0003034707446808511,both,6,47,1493,4
nolh_docs46_chunk2771_q9_gengemma3_4b_embsnowflake_arctic_embed2_568m,gemma3:4b,snowflake-arctic-embed2:568m,46,2771,50,9,414,3,22324,0,22324,108.36313136400713,206.01102717316758,0.055810000000000005,0.0025,0.0012132608695652174,0.00013480676328502417,0.055810000000000005,0.0,0.04515130473500297,0.0020225454548917295,0.0009815501029348471,0.00010906112254831636,0.030100869823335315,0.010658695264997034,1.2360661630390055,0.055810000000000005,0.0025,0.0012132608695652174,0.00013480676328502417,both,8,46,2771,9
nolh_docs48_chunk3948_q5_gengpt_oss_20b_embnomic_embed_text_137m_v1.5_fp16,gpt-oss:20b,nomic-embed-text:137m-v1.5-fp16,48,3948,50,5,240,3,23312,0,23312,290.4555426299921,80.26013134029562,0.058280000000000005,0.0025,0.0012141666666666668,0.00024283333333333335,0.058280000000000005,0.0,0.12102314276249673,0.005191452589331535,0.002521315474218682,0.0005042630948437364,0.08068209517499782,-0.06274314276249673,0.48156078804177366,0.058280000000000005,0.0025,0.0012141666666666668,0.00024283333333333335,both,9,48,3948,5
nolh_docs40_chunk2390_q4_gengemma3_1b_embqwen3_embedding_8b_fp16,gemma3:1b,qwen3-embedding:8b-fp16,40,2390,50,4,157,3,19517,0,19517,67.55632075300673,288.8996881780504,0.0487925,0.0025,0.0012198125,0.0003107802547770701,0.0487925,0.0,0.028148466980419472,0.001442253777753726,0.0007037116745104868,0.0001792895986013979,0.01876564465361298,0.02064403301958053,1.7333981290683025,0.0487925,0.0025,0.0012198125,0.0003107802547770701,both,10,40,2390,4
nolh_docs29_chunk3459_q10_gengpt_oss_20b_embembeddinggemma,gpt-oss:20b,embeddinggemma,29,3459,50,10,290,3,14137,0,14137,311.5097684429784,45.38220445111906,0.0353425,0.0024999999999999996,0.001218706896551724,0.0001218706896551724,0.0353425,0.0,0.129795736851241,0.009181278690757657,0.0044757150638358965,0.00044757150638358964,0.08653049123416066,-0.09445323685124099,0.27229322670671435,0.0353425,0.0024999999999999996,0.001218706896551724,0.0001218706896551724,both,11,29,3459,10
nolh_docs32_chunk3159_q1_genqwen3_latest_embqwen3_embedding_8b_fp16,qwen3:latest,qwen3-embedding:8b-fp16,32,3159,50,1,32,3,15614,0,15614,689.5346148979588,22.644258406535034,0.039035,0.0025,0.00121984375,0.00121984375,0.039035,0.0,0.28730608954081616,0.01840054371338646,0.008978315298150505,0.008978315298150505,0.1915373930272108,-0.24827108954081617,0.1358655504392102,0.039035,0.0025,0.00121984375,0.00121984375,both,12,32,3159,1
nolh_docs44_chunk310_q8_gengpt_oss_20b_embsnowflake_arctic_embed2_568m,gpt-oss:20b,snowflake-arctic-embed2:568m,44,310,31,8,352,3,21320,0,21320,380.6032610969414,56.0163355893309,0.0533,0.0025,0.0012113636363636363,0.00015142045454545454,0.0533,0.0,0.15858469212372558,0.007438306384790131,0.0036041975482664908,0.00045052469353331134,0.10572312808248373,-0.10528469212372558,0.3360980135359854,0.0533,0.0025,0.0012113636363636363,0.00015142045454545454,both,13,44,310,8
nolh_docs12_chunk2936_q6_gengemma3_4b_embqwen3_embedding_8b_fp16,gemma3:4b,qwen3-embedding:8b-fp16,12,2936,50,6,72,3,5823,0,5823,33.9306437389896,171.61478116340032,0.014557500000000001,0.0025,0.001213125,0.0002021875,0.014557500000000001,0.0,0.014137768224579,0.0024279182937624933,0.00117814735204825,0.00019635789200804165,0.009425178816386,0.0004197317754210013,1.029688686980402,0.014557500000000001,0.0025,0.001213125,0.0002021875,both,14,12,2936,6
