experiment_name,gen_model,embed_model,num_docs,chunk_size,chunk_overlap,num_questions_per_doc,total_questions,concurrency,total_input_tokens,total_output_tokens,total_tokens,total_runtime_seconds,tokens_per_second,total_cost,cost_per_1k_tokens,cost_per_document,cost_per_question,pricing_mode
baseline_gemma3_1b,gemma3:1b,embeddinggemma,10,512,50,2,20,1,15367,312,15679,14.871093080975697,1054.327339263167,0.006196288783739874,0.0003951966824248915,0.0006196288783739874,0.0003098144391869937,local
large_chunks_512,gemma3:1b,embeddinggemma,10,512,50,3,30,1,20597,402,20999,16.374491873997606,1282.4214736914084,0.055512500000000006,0.002643578265631697,0.005551250000000001,0.0018504166666666669,api
small_chunks_256,gemma3:1b,embeddinggemma,10,256,25,2,19,1,14828,296,15124,14.081126087010489,1074.0618262023474,0.040029999999999996,0.0026467865644009517,0.004003,0.002106842105263158,api
more_questions,gemma3:1b,embeddinggemma,10,512,50,5,50,1,31057,635,31692,21.24511303799955,1491.7312957250397,0.0839925,0.0026502745172283224,0.00839925,0.0016798499999999999,api
more_docs_20,gemma3:1b,embeddinggemma,20,512,50,2,39,1,30016,640,30656,27.67463974702696,1107.7289634201409,0.08144,0.0026565762004175366,0.004072,0.002088205128205128,api
baseline_gemma3_1b_30docs,gemma3:1b,embeddinggemma,30,512,50,2,60,1,45805,952,46757,41.56255253801646,1124.9790290726796,0.017317730224173527,0.0003703772745080635,0.0005772576741391175,0.00028862883706955877,local
large_chunks_512_30docs,gemma3:1b,embeddinggemma,30,512,50,3,90,1,61395,1323,62718,47.60816550500021,1317.379053251124,0.1667175,0.002658208169903377,0.00555725,0.0018524166666666665,api
small_chunks_256_30docs,gemma3:1b,embeddinggemma,30,256,25,2,60,1,45805,928,46733,40.37430341802974,1157.493654221925,0.1237925,0.002648931162133824,0.004126416666666666,0.002063208333333333,api
more_questions_30docs,gemma3:1b,embeddinggemma,30,512,50,5,147,1,90973,2076,93049,65.13588195797635,1428.5367327954864,0.2481925,0.0026673311910928653,0.008273083333333334,0.0016883843537414966,api
more_docs_60,gemma3:1b,embeddinggemma,60,512,50,2,120,1,91195,1794,92989,77.70958850201714,1196.62195866069,0.2459275,0.002644694533762058,0.004098791666666666,0.002049395833333333,api
baseline_gemma3_4b,gemma3:4b,embeddinggemma,10,512,50,2,20,1,15367,282,15649,47.496021043996734,329.4802313125124,0.019790008768331972,0.0012646181077597273,0.001979000876833197,0.0009895004384165985,local
large_chunks_512_4b,gemma3:4b,embeddinggemma,10,512,50,3,30,1,20597,402,20999,51.91777824900055,404.4664603960445,0.055512500000000006,0.002643578265631697,0.005551250000000001,0.0018504166666666669,api
small_chunks_256_4b,gemma3:4b,embeddinggemma,10,256,25,2,20,1,15367,276,15643,37.39814187599404,418.28281340472904,0.0411775,0.0026323275586524323,0.00411775,0.002058875,api
more_questions_4b,gemma3:4b,embeddinggemma,10,512,50,5,50,1,31057,660,31717,91.47119283300712,346.743045735761,0.0842425,0.002656067723933537,0.00842425,0.0016848499999999999,api
more_docs_20_4b,gemma3:4b,embeddinggemma,20,512,50,2,40,1,30555,586,31141,121.56193720598822,256.17393664294104,0.0822475,0.002641132269355512,0.004112375,0.0020561875,api
baseline_gemma3_4b_30docs,gemma3:4b,embeddinggemma,30,512,50,2,60,1,45805,842,46647,117.50233828798082,396.98784449442286,0.04895930761999201,0.0010495703393571293,0.0016319769206664004,0.0008159884603332002,local
large_chunks_512_30docs_4b,gemma3:4b,embeddinggemma,30,512,50,3,90,1,61395,1149,62544,116.36947300101019,537.4605417303649,0.1649775,0.0026377830007674598,0.00549925,0.0018330833333333333,api
small_chunks_256_30docs_4b,gemma3:4b,embeddinggemma,30,256,25,2,60,1,45805,872,46677,99.45089728801395,469.3471981939133,0.12323250000000001,0.002640111832379973,0.00410775,0.002053875,api
more_questions_30docs_4b,gemma3:4b,embeddinggemma,30,512,50,5,150,1,92575,1715,94290,137.17722237597627,687.3590116992551,0.24858750000000002,0.0026364142538975502,0.00828625,0.00165725,api
more_docs_60_4b,gemma3:4b,embeddinggemma,60,512,50,2,120,1,91195,1732,92927,211.00985925005807,440.3917443965331,0.24530749999999998,0.002639787144748028,0.004088458333333333,0.0020442291666666664,api
